Open,High,Low,Close,Volume
33.59999847,34.79999924,33.25,33.84999847,399804
34.40000153,35.70000076,33.40000153,33.59999847,747330
33.5,35.70000076,32.90000153,34.95000076,467055
33.84999847,34.59999847,32.5,33.09999847,191474
33.70000076,34.65000153,33.29999924,33.29999924,255172
33.25,34.04999924,32.75,34,241504
32.95000076,34.20000076,32.04999924,34.20000076,245975
32,33.79999924,31.5,33.75,236394
31.04999924,32,29.5,32,70501
30.29999924,31.5,30.14999962,30.29999924,130852
30.45000076,31.25,30,30.20000076,125158
31.10000038,31.79999924,30,30.5,343023
31.89999962,32.25,30.5,31.20000076,404076
31,32.5,30.79999924,32,248239
30.25,31.70000076,30,31.64999962,403651
29.75,31.20000076,29.10000038,30.79999924,85557
30,30.45000076,29.85000038,30.45000076,407085
29.25,30.45000076,29.20000076,30.10000038,246546
29.25,30,28.5,29.14999962,262902
29.75,30,28.64999962,28.79999924,149557
30,31,29.45000076,30.45000076,440801
29.75,30.95000076,29.60000038,30.29999924,148902
29.29999924,30.25,29.25,30,18783
29.85000038,30.04999924,28.79999924,29.75,324515
29.85000038,30.10000038,29.20000076,29.39999962,957611
28.89999962,29.89999962,28.5,29.75,113320
27.89999962,29.20000076,27.75,29.20000076,249279
31,31.89999962,27.5,27.85000038,973198
33.75,33.90000153,31.25,31.45000076,777388
33.25,34.95000076,32.34999847,34,532000
33.70000076,35,32.54999924,35,271301
32.84999847,34.79999924,31.75,34.5,86379
31.39999962,33.04999924,31.25,33,107517
33.20000076,34,31.60000038,32.34999847,337500
33.34999847,34.09999847,33.09999847,33.09999847,149825
35.84999847,38.90000153,33.15000153,33.20000076,1325861
38.20000076,39.40000153,34.5,37,470653
37.65000153,40,37.20000076,39,163852
36.75,38,36.40000153,38,75228
35.34999847,37.79999924,35,37.70000076,110136
36,36.5,35.09999847,36.29999924,148401
35.29999924,36.34999847,35.04999924,35.75,192267
35.04999924,35.75,35,35.75,29490
34.15000153,35.79999924,34,34.5,141955
35.04999924,35.95000076,34,34,191369
34.34999847,35.40000153,34.25,35.29999924,127445
33.70000076,35.34999847,33.5,35.34999847,413937
34.79999924,35.5,33.54999924,34,163900
33.90000153,34.95000076,33.75,33.75,82648
33.84999847,34.45000076,33.70000076,33.70000076,111174
32.75,34.34999847,32.20000076,33.54999924,115216
32.84999847,33.79999924,32.5,32.54999924,389244
32.20000076,33.75,31.29999924,33.70000076,111593
33.34999847,33.5,31.85000038,32.70000076,164688
32.40000153,33.95000076,32.04999924,33.59999847,74865
35.79999924,36.45000076,33.45000076,33.45000076,181900
36.40000153,37.20000076,35.70000076,35.70000076,142595
35.5,36.90000153,35.5,36.90000153,22837
35,35.95000076,33.40000153,33.40000153,72821
34.70000076,35.20000076,34.5,34.5,189870
34.04999924,35.29999924,33.79999924,35.29999924,183711
33.15000153,34,32.79999924,34,151639
33.29999924,35.45000076,33.20000076,33.75,329155
33.5,34,32.59999847,33.29999924,341629
35,36.70000076,33,33.54999924,367531
34.90000153,35.59999847,34.25,34.5,109260
33.75,35.20000076,33.59999847,34.45000076,125643
33.34999847,34.59999847,33.25,34.59999847,234325
33.15000153,33.84999847,32.79999924,33.5,107917
33.25,34.29999924,32.70000076,32.75,123042
33.20000076,34,33.09999847,33.40000153,47313
32.79999924,33.5,32.29999924,33.09999847,170531
33,33.79999924,32.09999847,32.79999924,171335
31.95000076,32.95000076,31.79999924,32.54999924,67986
31.79999924,32,30.79999924,32,56376
31.70000076,32.34999847,31.14999962,32.34999847,11308
32.34999847,33.20000076,31,31.29999924,396331
32.90000153,33.84999847,32,33.04999924,332832
32.65000153,33.54999924,32.5,32.75,70525
39.70000076,40.40000153,35.29999924,35.70000076,2171645
41.09999847,43.09999847,37.09999847,37.09999847,690441
40.20000076,41.54999924,40,41.54999924,349577
39.45000076,41.09999847,39.40000153,39.75,278320
35.90000153,39.29999924,35.5,39.25,255428
37.5,38.04999924,36,36.79999924,82533
35.5,38.45000076,34.04999924,37.95000076,113062
35.04999924,36.59999847,33,35.5,73473
34.15000153,39,33.5,34.5,306016
35.34999847,36.84999847,35,36.84999847,82125
34.65000153,36.09999847,33.5,35,92925
33.59999847,35,33.25,34.79999924,210915
33.59999847,34,31.89999962,33.5,23459
25.70000076,32.5,25.70000076,32.29999924,295527
20.60000038,21.10000038,20.60000038,21.10000038,469132
18.54999924,18.54999924,18.54999924,18.54999924,905613
16.70000076,17.5,16.70000076,16.79999924,3148445
15.05000019,15.05000019,15.05000019,15.05000019,509848
14.30000019,14.30000019,14.30000019,14.30000019,227139
13.60000038,13.60000038,13.60000038,13.60000038,101304
12.94999981,12.94999981,12.94999981,12.94999981,27380
